"","A","B","C","loss","t_c","m","omega","phi"
"148",9.775,-0.6,0.01,16.066228038735,1997.60428576426,0.290662065738191,11.5087921568969,2.05081127082976
"149",9.775,-0.6,0.02,16.2517085274327,1997.6063879448,0.268138392238567,7.32856785308104,2.65896304460554
"150",9.775,-0.6,0.04,16.564911323706,1997.60195652107,0.284084091180315,9.37633516398879,2.78605838419849
"151",9.775,-0.6,0.05,16.8955226055557,1997.62240705878,0.254251412892093,6.45790359455471,4.06022172643701
"152",9.925,-0.1,0.04,17.7242476050658,2001.15393315169,0.879528364166617,7.47862872939246,2.69746819245379
"153",9.925,-0.1,0.02,18.4240782052353,2001.38644781451,0.898132452896486,6.90871765029927,2.63406596853286
"154",9.925,-0.1,0.03,18.7528244634706,2001.46861901342,0.880714668923368,8.23795125897353,4.24355522285302
"155",9.85,-0.7,0.02,20.511673239686,1997.60033167579,0.264009907717506,10.1947360860649,2.61195765855873
"156",9.85,-0.7,0.05,20.6046361974099,1997.60251475551,0.246989708238592,12.2663830294817,3.16973654321386
"157",9.85,-0.7,0.03,20.7097842349737,1997.60059310502,0.253289595308403,9.82745627081022,2.41470798884776
"158",9.85,-0.7,0.01,20.7639038298042,1997.60121055388,0.222416960820556,12.943671811372,5.24800229303859
"159",9.85,-0.7,0.04,21.1038968123112,1997.60494088605,0.308084650803357,11.1323225923503,2.53532704569468
"160",9.925,-0.1,0.01,24.8413505618735,2001.55604937089,0.889775786735117,8.40516726587278,5.77635665836057
"161",9.925,-0.8,0.05,26.2717496983783,1997.61688482705,0.242892634278784,6.89833714277484,4.14549251536669
"162",9.925,-0.8,0.04,26.3904101656082,1997.60120297323,0.310178082374235,6.11783633031882,3.51806151061737
"163",9.925,-0.8,0.01,26.5147668103969,1997.61153583188,0.214908495669564,6.65402662552272,4.80492591225267
"164",9.925,-0.8,0.02,26.7321208604306,1997.60930177467,0.189130914304405,10.3914560656607,1.40982757867661
"165",9.925,-0.8,0.03,27.3958346537652,1997.62609542183,0.224734562356025,12.9722368647732,3.38650732472415
"166",10,-0.9,0.02,32.4555340214594,1997.60506863324,0.160668664829185,7.1899647982015,3.96105911643437
"167",10,-0.9,0.01,32.575168487008,1997.60130150033,0.150857834486912,6.39320949825924,2.54740611596787
